papel,Tipo,Empresa,setor,Subsetor,Valor_de_mercado,Valor_da_firma,ult_balanco_processado,numero_de_acoes,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrimonio_Liq,PSR,VPA,LPA,P/l,P/VP,P/EBIT,Marg_Liquida%,Div_Yield_%,ROIC_%,ROE_%,Liquidez_Corr
VGOR3,ON,VIGOR ON,Alimentos,Laticínios,,240630000.0,30/09/2008,165447000.0,661755000.0,15360000.0,203684000.0,255990000.0,240630000.0,135178000.0,,0.0,0.0,0.0,0.0,,-4.6,0.0,6.0,-24.3,1.04
VAGV4,PN,SAVIRG PN,Transporte,Transporte Aéreo,71325500.0,2615820000.0,31/03/2006,69927000.0,2169100000.0,14955000.0,1091470000.0,2559450000.0,2544500000.0,-8194580000.0,0.01,-117.19,-24.3,-0.04,-0.01,-0.24,-29.3,0.0,-15.1,20.7,0.52
VALE5,PNA N1,CVRD PNA N1,Mineração,Minerais Metálicos,176290000000.0,219172000000.0,30/09/2018,5284470000.0,342279000000.0,24424400000.0,60585800000.0,67305800000.0,42881500000.0,163258000000.0,1.39,30.89,2.59,12.86,1.08,3.76,10.6,0.0,15.5,8.4,1.65
VALE3,ON N1,CVRD ON N1,Mineração,Minerais Metálicos,266655000000.0,309536000000.0,30/09/2018,5284470000.0,342279000000.0,24424400000.0,60585800000.0,67305800000.0,42881500000.0,163258000000.0,2.1,30.89,2.59,19.46,1.63,5.68,10.6,2.9,15.5,8.4,1.65
USIM5,PNA N1,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,12994400000.0,17150900000.0,31/12/2018,1253080000.0,26523900000.0,1693350000.0,8324320000.0,5849790000.0,4156440000.0,14266300000.0,0.95,11.39,0.58,17.88,0.91,9.04,6.0,1.2,6.1,5.1,2.5
VAGV3,ON,SAVIRG ON,Transporte,Transporte Aéreo,79716800.0,2624210000.0,31/03/2006,69927000.0,2169100000.0,14955000.0,1091470000.0,2559450000.0,2544500000.0,-8194580000.0,0.01,-117.19,-24.3,-0.05,-0.01,-0.27,-29.3,0.0,-15.1,20.7,0.52
USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,14698600000.0,18855100000.0,31/12/2018,1253080000.0,26523900000.0,1693350000.0,8324320000.0,5849790000.0,4156440000.0,14266300000.0,1.07,11.39,0.58,20.23,1.03,10.22,6.0,1.0,6.1,5.1,2.5
USIM6,PNB N1,USIMINAS PNB N1,Siderurgia e Metalurgia,Siderurgia,12530800000.0,16687200000.0,31/12/2018,1253080000.0,26523900000.0,1693350000.0,8324320000.0,5849790000.0,4156440000.0,14266300000.0,0.91,11.39,0.58,17.24,0.88,8.72,6.0,1.3,6.1,5.1,2.5
UOLL4,PN,UOL PN,Programas e Serviços,Programas e Serviços,2357000000.0,2566560000.0,30/09/2011,120132000.0,1680220000.0,25644000.0,493661000.0,235211000.0,209567000.0,1003690000.0,2.05,8.35,0.45,43.52,2.35,15.14,4.7,0.0,10.6,5.4,1.01
UNIP6,PNB,UNIPAR PARTICIPAÇÕES S.A. PNB,Químicos ,Petroquímicos,3677940000.0,3844310000.0,31/12/2018,87155000.0,4042630000.0,861481000.0,1600100000.0,1027850000.0,166365000.0,1347520000.0,1.06,15.46,6.06,6.97,2.73,4.27,15.8,6.2,28.8,39.2,1.42
UNIP5,PNA,UNIPAR PARTICIPAÇÕES S.A. PNA,Químicos ,Petroquímicos,3687530000.0,3853890000.0,31/12/2018,87155000.0,4042630000.0,861481000.0,1600100000.0,1027850000.0,166365000.0,1347520000.0,1.06,15.46,6.06,6.98,2.74,4.28,15.8,6.1,28.8,39.2,1.42
UNIP3,ON,UNIPAR PARTICIPAÇÕES S.A. ON,Químicos ,Petroquímicos,3643950000.0,3810320000.0,31/12/2018,87155000.0,4042630000.0,861481000.0,1600100000.0,1027850000.0,166365000.0,1347520000.0,1.05,15.46,6.06,6.9,2.7,4.23,15.8,5.6,28.8,39.2,1.42
UGPA3,ON,ULTRAPAR PARTICIPAÇÕES SA ON,Holdings Diversificadas,Holdings Diversificadas,30324100000.0,38738200000.0,31/12/2018,556405000.0,30499400000.0,6792060000.0,16211700000.0,15206100000.0,8414090000.0,9448100000.0,0.33,16.98,2.07,26.36,3.21,16.27,1.2,2.3,8.9,12.2,2.56
